timestamp_ms,frame_ms,gc_pause_ms,chunks_loaded,chunks_visible,draw_calls,triangles,x,y,z
71,0.000,2.000,10,0,0,0,757.7,199.7,176.0
101,59.200,4.000,20,2,2,1690,757.7,199.2,176.0
112,16.489,0.000,30,2,2,1690,757.7,199.1,176.0
121,6.818,0.000,40,2,2,1690,757.7,199.0,176.0
132,5.759,0.000,50,2,2,1690,757.7,198.9,176.0
171,5.358,0.000,60,6,6,5140,757.7,198.7,176.0
184,10.512,3.000,70,7,7,5940,757.7,198.5,176.0
198,8.706,0.000,80,8,8,6614,757.7,198.4,176.0
211,7.594,0.000,90,9,9,7312,757.7,198.3,176.0
226,6.072,0.000,100,10,10,8168,757.7,198.1,176.0
239,5.446,0.000,110,12,12,9426,757.7,198.0,176.0
254,3.914,0.000,120,12,12,9426,757.7,197.8,176.0
271,3.857,0.000,130,12,12,9426,757.7,197.6,176.0
291,5.094,3.000,140,13,13,10140,757.7,197.4,176.0
307,9.647,0.000,150,18,18,14838,757.7,197.2,176.0
343,6.014,0.000,160,24,24,19840,757.7,196.7,176.0
358,6.340,0.000,170,25,25,20494,757.7,196.5,176.0
373,6.119,0.000,180,27,27,21704,757.7,196.3,176.0
389,6.022,0.000,190,28,28,22310,757.7,196.0,176.0
406,6.340,0.000,200,28,28,22310,757.7,195.8,176.0
419,6.983,0.000,210,32,32,25796,757.7,195.5,176.0
435,5.838,0.000,220,33,33,26602,757.7,195.3,176.0
450,6.397,0.000,230,36,36,30472,757.7,195.0,176.0
467,5.884,0.000,240,48,48,46762,757.7,194.7,176.0
490,6.374,6.000,250,57,57,57370,757.7,194.5,176.0
505,13.831,0.000,260,63,63,65328,757.7,194.0,176.0
537,6.716,0.000,270,73,73,79922,757.7,193.4,176.0
560,7.965,0.000,280,81,81,98716,757.7,192.9,176.0
576,6.385,5.000,290,86,86,101102,757.7,192.6,176.0
594,6.814,0.000,300,91,91,105440,757.7,192.2,176.0
610,8.339,0.000,310,93,93,107634,757.7,191.9,176.0
626,6.883,0.000,320,96,96,108660,757.7,191.5,176.0
643,7.061,0.000,330,108,108,117660,757.7,191.1,176.0
659,7.377,0.000,340,109,109,122026,757.7,190.7,176.0
677,5.727,0.000,350,112,112,124214,757.7,190.3,176.0
696,7.593,3.000,360,117,117,129142,757.7,189.9,176.0
711,7.455,0.000,370,127,127,139262,757.7,189.5,176.0
737,7.230,0.000,380,134,134,147424,757.7,189.1,176.0
757,16.498,0.000,390,140,140,153058,757.7,188.4,176.0
783,12.522,0.000,400,140,140,153058,757.7,187.5,176.0
813,5.683,2.000,410,143,143,153986,757.7,186.8,176.0
830,12.491,0.000,420,146,146,160782,757.7,186.3,176.0
845,10.786,0.000,430,153,153,167106,757.7,185.8,176.0
861,7.453,0.000,440,159,159,178050,757.7,185.3,176.0
881,7.522,4.000,450,163,163,183080,757.7,184.8,176.0
895,10.348,0.000,460,169,169,185982,757.7,184.2,176.0
911,5.582,0.000,470,177,177,204918,757.7,183.7,176.0
932,4.978,0.000,480,182,182,212380,757.7,183.1,176.0
956,8.632,0.000,490,185,185,218862,757.7,182.3,176.0
995,8.773,0.000,500,191,191,226040,757.7,181.0,176.0
1014,8.230,3.000,510,197,197,233460,757.7,180.4,176.0
1030,8.313,0.000,520,207,207,249148,757.7,179.7,176.0
1045,6.386,0.000,530,208,208,250606,757.7,179.1,176.0
1065,4.542,0.000,540,213,213,257126,757.7,178.5,176.0
1084,7.884,0.000,550,216,216,258540,757.7,177.8,176.0
1101,7.616,0.000,560,219,219,265792,757.7,177.1,176.0
1129,6.924,0.000,570,224,224,281506,757.7,176.5,176.0
1192,17.172,0.000,580,226,226,283826,757.7,173.5,176.0
1226,6.059,3.000,590,232,232,287936,757.7,172.4,176.0
1280,12.958,0.000,600,239,239,295882,757.7,169.8,176.0
1287,7.269,0.000,610,244,244,310122,757.7,169.5,176.0
1309,6.808,0.000,620,247,247,317142,757.7,168.5,176.0
1332,6.129,0.000,630,255,255,328510,757.7,167.5,176.0
1375,8.129,0.000,640,256,256,332812,757.7,165.6,176.0
1391,8.555,0.000,650,263,263,341812,757.7,164.7,176.0
1410,6.409,0.000,660,268,268,346160,757.7,163.9,176.0
1427,6.361,0.000,670,277,277,359900,757.7,163.0,176.0
1445,6.670,0.000,680,281,281,364950,757.7,162.2,176.0
1463,6.719,0.000,690,284,284,368730,757.7,161.3,176.0
1483,6.600,0.000,700,287,287,369300,757.7,160.4,176.0
1500,7.569,0.000,710,296,296,385152,757.7,159.5,176.0
1524,6.426,0.000,720,300,300,394266,757.7,158.3,176.0
1564,6.875,0.000,730,304,304,398076,757.7,156.2,176.0
1584,6.580,0.000,740,307,307,399214,757.7,155.1,176.0
