timestamp_ms,frame_ms,gc_pause_ms,chunks_loaded,chunks_visible,draw_calls,triangles,x,y,z
57,0.000,2.000,10,0,0,0,762.7,200.0,176.1
83,44.032,0.000,20,3,3,2552,766.0,200.0,176.2
106,13.676,4.000,30,4,4,3440,766.9,200.0,176.2
115,18.667,0.000,40,4,4,3440,768.0,200.0,176.2
130,6.420,0.000,50,8,8,7120,768.7,200.0,176.3
147,6.984,0.000,60,8,8,7120,769.4,200.0,176.3
161,8.935,2.000,70,8,8,7120,770.2,200.0,176.3
174,8.385,0.000,80,9,9,8036,770.9,200.0,176.4
189,6.069,0.000,90,9,9,8036,771.7,200.0,176.4
204,6.558,0.000,100,9,9,8036,772.4,200.0,176.4
219,6.318,0.000,110,10,10,8688,773.2,200.0,176.5
236,6.160,0.000,120,10,10,8688,773.9,200.0,176.5
251,7.565,0.000,130,12,12,10092,774.7,200.0,176.6
265,8.048,0.000,140,13,13,10942,775.4,200.0,176.6
285,6.883,0.000,150,15,15,12710,776.4,200.0,176.7
318,6.933,4.000,160,17,17,14318,778.1,200.0,176.8
336,6.007,0.000,170,17,17,14318,779.0,200.0,176.9
351,6.118,0.000,180,17,17,14318,779.7,200.0,176.9
366,5.915,0.000,190,17,17,14318,780.5,200.0,177.0
382,6.342,0.000,200,19,19,16414,781.3,200.0,177.1
398,6.416,0.000,210,20,20,17518,782.1,200.0,177.1
413,6.299,0.000,220,21,21,18202,782.8,200.0,177.2
430,6.183,0.000,230,27,27,23444,783.6,200.0,177.3
460,7.178,6.000,240,36,36,30260,784.7,200.0,177.4
490,16.623,0.000,250,40,40,32294,786.6,200.0,177.6
512,7.333,5.000,260,46,46,37730,787.6,200.0,177.7
524,8.898,0.000,270,50,50,41400,788.2,200.0,177.7
543,8.836,0.000,280,54,54,45358,789.1,200.0,177.8
556,10.985,0.000,290,59,59,52636,789.9,200.0,177.9
572,7.543,0.000,300,64,64,55218,790.7,200.0,178.0
590,7.536,4.000,310,70,70,65338,791.6,200.0,178.1
606,7.545,0.000,320,76,76,78604,792.4,200.0,178.2
623,7.536,0.000,330,78,78,84070,793.2,200.0,178.3
640,7.342,0.000,340,82,82,95890,794.0,200.0,178.4
658,7.748,3.000,350,85,85,100806,794.9,200.0,178.6
676,8.323,0.000,360,95,95,113988,795.8,200.0,178.7
694,8.807,0.000,370,97,97,117370,796.7,200.0,178.8
722,9.205,4.000,380,105,105,130490,798.1,200.0,179.0
759,9.049,0.000,390,115,115,142712,800.0,200.0,179.3
778,7.351,3.000,400,119,119,147124,800.9,200.0,179.4
794,7.511,0.000,410,125,125,164718,801.7,200.0,179.6
813,6.895,0.000,420,128,128,166722,802.6,200.0,179.7
831,8.375,0.000,430,131,131,168372,803.4,200.0,179.8
847,9.224,0.000,440,134,134,171600,804.3,200.0,180.0
867,7.838,0.000,450,135,135,174024,805.1,200.0,180.1
881,10.465,0.000,460,141,141,177870,806.0,200.0,180.3
897,6.816,0.000,470,145,145,189944,806.8,200.0,180.4
925,5.618,4.000,480,146,146,198832,807.8,200.0,180.6
963,12.923,0.000,490,146,146,206424,809.9,200.0,181.0
982,8.622,0.000,500,150,150,212802,810.9,200.0,181.2
1001,8.057,0.000,510,162,162,223416,811.8,200.0,181.4
1016,8.521,0.000,520,165,165,231748,812.7,200.0,181.6
1033,5.938,0.000,530,168,168,239394,813.5,200.0,181.7
1052,6.298,0.000,540,170,170,246828,814.4,200.0,181.9
1070,7.897,0.000,550,172,172,247724,815.3,200.0,182.1
