timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
106,0.00,9.951,3,67,40,0,16,10,0,0
207,0.00,12.447,4,136,130,4,48,10,28715,0
310,0.00,14.771,5,63,210,8,75,10,53536,0
412,0.00,13.010,0,327,290,12,104,10,80889,0
513,0.00,16.993,7,82,350,19,117,10,123041,0
614,0.00,13.298,3,258,420,30,135,10,206573,0
728,0.00,14.903,4,370,500,39,143,10,266861,0
830,0.00,15.470,4,513,570,48,145,10,333642,0
939,63.00,16.202,7,202,640,61,134,10,411266,0
1051,63.00,15.606,5,331,710,72,125,10,485107,0
1162,63.00,16.567,5,435,780,84,114,10,560246,0
1264,63.00,16.116,5,475,840,94,104,10,629698,0
1367,63.00,16.660,5,490,881,105,93,6,704987,0
1473,63.00,19.178,5,433,917,114,83,6,771296,0
1577,63.00,17.865,5,274,953,124,73,6,826865,0
1681,63.00,22.088,6,190,983,136,62,6,894523,0
1802,63.00,20.415,0,804,1019,147,51,6,970638,0
1919,55.00,24.423,6,604,1049,157,41,6,1035889,0
2034,55.00,21.804,7,449,1079,168,30,6,1102629,0
2135,55.00,25.693,5,295,1103,180,18,6,1175327,0
2243,55.00,25.348,0,911,1127,189,9,6,1244006,0
2365,55.00,39.547,14,444,1145,197,0,6,1292530,0
2488,55.00,27.013,0,450,1169,198,0,6,1298297,0
2601,55.00,29.049,0,458,1193,198,0,6,1298297,0
2721,55.00,31.282,0,466,1217,198,0,6,1298297,0
2843,55.00,31.684,0,480,1241,198,0,6,1298297,0
2974,35.00,32.839,0,488,1265,198,0,6,1298297,0
3104,35.00,32.191,0,494,1284,198,0,6,1298297,0
3225,35.00,32.636,0,500,1302,198,0,4,1298297,0
3326,35.00,32.043,0,506,1306,198,0,0,1298297,0
3455,35.00,31.106,0,506,1306,198,0,0,1298297,0
3583,35.00,31.198,0,506,1306,198,0,0,1298297,0
3690,35.00,15.008,0,506,1306,198,0,0,1298297,0
3797,35.00,32.470,0,554,1306,198,1,0,1298297,0
3919,30.00,32.269,0,594,1306,199,0,0,1304808,0
4049,30.00,32.127,0,594,1306,199,0,0,1304808,0
4177,30.00,31.651,0,596,1306,199,0,0,1304808,0
4278,30.00,31.807,0,644,1306,199,0,0,1304808,0
4399,30.00,32.858,0,644,1306,199,0,0,1304808,0
4530,30.00,31.976,0,644,1306,199,0,0,1304808,0
4660,30.00,32.639,0,644,1306,199,0,0,1304808,0
4762,30.00,32.232,0,696,1306,199,1,0,1304808,0
4885,30.00,31.757,0,722,1306,200,0,0,1309589,0
4985,31.00,34.190,0,722,1306,200,0,0,1309589,0
5115,31.00,31.780,0,724,1306,200,0,0,1309589,0
5247,31.00,31.835,0,766,1306,200,0,0,1309589,0
5373,31.00,31.459,0,766,1306,200,0,0,1309589,0
5505,31.00,32.200,0,766,1306,200,0,0,1309589,0
5636,31.00,33.889,0,768,1306,200,0,0,1309589,0
5737,31.00,31.694,0,814,1306,200,0,0,1309589,0
5864,31.00,31.819,0,816,1306,200,0,0,1309589,0
5995,31.00,32.631,0,816,1306,200,0,0,1309589,0
6125,31.00,32.312,0,816,1306,200,0,0,1309589,0
6227,31.00,33.545,0,850,1306,200,0,0,1309589,0
6353,31.00,32.703,0,856,1318,200,0,6,1309589,0
6484,31.00,32.814,0,858,1328,200,0,0,1309589,0
6615,31.00,32.075,0,858,1328,200,0,0,1309589,0
6725,31.00,32.272,8,248,1328,200,0,0,1309589,0
6848,31.00,31.722,0,248,1328,200,0,0,1309589,0
6978,31.00,33.138,0,248,1328,200,0,0,1309589,0
7106,31.00,32.025,0,250,1328,200,0,0,1309589,0
7234,31.00,32.025,0,252,1328,200,0,0,1309589,0
7363,31.00,32.225,0,252,1328,200,0,0,1309589,0
7495,31.00,32.138,0,252,1328,200,0,0,1309589,0
7622,31.00,31.993,0,252,1328,200,0,0,1309589,0
7748,31.00,32.161,0,254,1328,200,0,0,1309589,0
7878,31.00,32.647,0,254,1328,200,0,0,1309589,0
8006,31.00,31.777,0,256,1328,200,0,0,1309589,0
8133,31.00,31.180,0,256,1328,200,0,0,1309589,0
8262,31.00,33.395,0,258,1328,200,0,0,1309589,0
8388,31.00,31.392,0,258,1328,200,0,0,1309589,0
8516,31.00,31.420,0,258,1328,200,0,0,1309589,0
8648,31.00,31.100,0,304,1329,200,1,6,1309589,0
8771,31.00,31.482,0,352,1353,201,0,6,1316471,0
8897,31.00,31.368,0,352,1359,201,0,0,1316471,0
9027,31.00,34.183,0,352,1359,201,0,0,1316471,0
9157,31.00,32.545,0,438,1359,201,0,0,1316471,0
9284,31.00,33.000,0,438,1359,202,0,0,1323671,0
9413,31.00,32.244,0,442,1360,202,0,6,1323671,0
9540,31.00,33.167,0,444,1371,202,0,0,1323671,0
9675,31.00,36.635,0,830,1371,205,3,0,1346096,0
9801,31.00,31.423,0,892,1371,209,0,0,1378574,0
9930,31.00,31.419,0,892,1371,209,0,0,1378574,0
10055,31.00,31.250,0,892,1371,209,0,0,1378574,0
10185,31.00,31.836,5,237,1371,211,0,0,1391024,0
10312,31.00,32.377,0,237,1371,211,0,0,1391024,0
10441,31.00,32.046,0,239,1371,211,0,0,1391024,0
10570,31.00,33.299,0,303,1371,211,0,0,1391024,0
10694,31.00,31.428,0,303,1371,211,0,0,1391024,0
10824,31.00,33.589,0,303,1371,211,0,0,1391024,0
10954,31.00,31.621,0,307,1364,211,0,6,1391024,0
11063,31.00,31.972,0,385,1376,211,9,6,1391024,0
11187,31.00,33.467,0,723,1382,220,0,0,1439053,0
11318,31.00,32.345,0,725,1382,220,0,0,1439053,0
11445,31.00,32.801,0,725,1382,220,0,0,1439053,0
11550,31.00,32.693,0,783,1382,220,1,0,1439053,0
11676,31.00,31.537,0,805,1382,221,0,0,1443745,0
11809,31.00,33.027,0,805,1382,221,0,0,1443745,0
11941,31.00,34.248,0,805,1382,221,0,0,1443745,0
12041,31.00,31.969,0,833,1382,221,0,0,1443745,0
12171,31.00,32.579,0,833,1382,221,0,0,1443745,0
12272,31.00,33.068,0,835,1382,221,0,0,1443745,0
12404,31.00,32.375,0,835,1382,221,0,0,1443745,0
12505,31.00,33.518,0,835,1382,221,0,0,1443745,0
12609,31.00,35.498,0,983,1378,224,0,3,1456603,0
12710,31.00,32.777,0,983,1381,224,0,0,1456603,0
12810,31.00,33.641,0,983,1381,224,0,0,1456603,0
12913,29.00,35.243,0,983,1381,224,0,0,1456603,0
13015,29.00,34.390,0,985,1381,224,0,0,1456603,0
13120,29.00,36.783,6,265,1381,226,0,0,1465846,0
13223,29.00,34.203,0,267,1381,226,0,0,1465846,0
13327,29.00,33.954,0,267,1381,226,0,0,1465846,0
13430,29.00,33.839,0,267,1381,226,0,0,1465846,0
13533,29.00,33.963,0,267,1381,226,0,0,1465846,0
13636,29.00,35.553,0,295,1381,226,0,0,1465846,0
13740,29.00,34.892,0,299,1354,226,0,6,1465846,0
13843,29.00,34.704,0,303,1372,226,0,6,1465846,0
13947,30.00,33.451,0,305,1382,226,0,0,1465846,0
14051,30.00,34.007,0,305,1382,226,0,0,1465846,0
14158,30.00,37.238,0,485,1382,229,0,0,1485673,0
14262,30.00,34.744,0,485,1382,229,0,0,1485673,0
14370,30.00,35.059,0,485,1382,229,0,0,1485673,0
14476,30.00,34.620,0,485,1382,229,0,0,1485673,0
14580,30.00,34.382,0,489,1382,229,0,0,1485673,0
14686,30.00,38.655,0,571,1382,230,0,0,1491802,0
14789,30.00,34.667,0,571,1382,230,0,0,1491802,0
14894,30.00,33.272,0,571,1382,230,0,0,1491802,0
15005,28.00,37.227,0,571,1382,230,0,0,1491802,0
15111,28.00,34.322,0,571,1382,230,0,0,1491802,0
15216,28.00,36.903,0,709,1382,232,0,0,1505910,0
15320,28.00,35.155,0,709,1382,232,0,0,1505910,0
15427,28.00,34.734,0,709,1382,232,0,0,1505910,0
15529,28.00,35.263,0,709,1382,232,0,0,1505910,0
15635,28.00,34.820,0,709,1382,232,0,0,1505910,0
15741,28.00,36.026,0,795,1380,233,0,2,1513651,0
15846,28.00,34.212,0,795,1382,233,0,0,1513651,0
15951,28.00,34.973,0,797,1382,233,0,0,1513651,0
16055,28.00,34.256,0,797,1382,233,0,0,1513651,0
16162,28.00,34.436,0,797,1382,233,0,0,1513651,0
16262,28.00,35.293,0,799,1382,233,0,0,1513651,0
16396,28.00,34.546,0,799,1382,233,0,0,1513651,0
16499,28.00,34.348,0,799,1382,233,0,0,1513651,0
16603,28.00,33.883,0,799,1382,233,0,0,1513651,0
16713,28.00,34.194,0,871,1354,233,2,6,1513651,0
16815,28.00,34.258,0,973,1372,235,0,6,1529773,0
