timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
105,0.00,28.079,7,62,30,0,12,10,0,0
219,0.00,14.689,21,111,130,3,49,10,22615,0
319,0.00,12.752,0,343,210,7,77,10,47625,0
430,0.00,24.993,31,190,290,10,106,10,67393,0
535,0.00,8.350,14,301,380,15,135,10,99706,0
636,0.00,5.046,18,311,450,19,153,10,125803,0
749,0.00,13.884,0,807,540,25,163,10,173186,0
857,0.00,13.828,35,712,610,30,163,10,206984,0
963,65.00,7.534,39,621,670,34,162,10,233164,0
1085,65.00,14.388,35,562,730,40,157,10,275078,0
1192,65.00,15.001,0,1102,810,48,150,10,334053,0
1298,65.00,17.164,46,889,857,54,144,6,371390,0
1458,65.00,14.934,49,799,899,65,132,6,436987,0
1568,65.00,13.885,0,1359,947,74,123,6,499696,0
1680,65.00,16.817,0,1907,989,84,114,6,560657,0
1815,65.00,88.306,78,1021,1013,91,107,6,605770,0
1915,53.00,19.863,0,1565,1049,101,97,6,666615,0
2111,53.00,100.000,90,1224,1085,110,88,6,725731,0
2211,53.00,59.296,42,1269,1109,116,82,6,767424,0
2315,53.00,20.251,2,983,1145,122,76,6,807621,0
2417,53.00,19.980,0,1463,1175,130,68,6,863539,0
2537,53.00,31.582,55,898,1199,136,60,6,896405,0
2652,53.00,23.128,0,1442,1229,146,52,6,959182,0
2772,53.00,78.068,70,723,1247,149,48,6,981521,0
2881,53.00,21.518,0,1209,1283,157,41,6,1036306,0
2983,40.00,22.516,0,1603,1290,165,33,0,1084644,0
3083,40.00,28.483,0,2139,1296,173,23,6,1132626,0
3195,40.00,91.752,85,940,1302,176,22,4,1150671,0
3306,40.00,26.979,0,1546,1306,186,12,0,1218565,0
3426,40.00,33.359,0,2338,1306,194,3,0,1271060,0
3532,40.00,100.000,90,1256,1306,196,2,0,1286782,0
3654,40.00,27.370,0,1482,1306,198,0,0,1298714,0
3768,40.00,28.321,0,1482,1306,198,0,0,1298714,0
3891,40.00,31.430,0,1482,1306,198,0,0,1298714,0
4012,33.00,32.648,0,1484,1306,198,0,0,1298714,0
4143,33.00,33.531,0,1490,1306,198,0,0,1298714,0
4266,33.00,32.036,0,1490,1306,198,0,0,1298714,0
4392,33.00,33.403,0,1492,1306,198,0,0,1298714,0
4501,33.00,28.824,0,1492,1306,198,0,0,1298714,0
4601,33.00,31.281,0,1500,1306,198,0,0,1298714,0
4730,33.00,31.182,0,1500,1306,198,0,0,1298714,0
4835,33.00,12.941,0,1500,1306,198,0,0,1298714,0
4946,30.00,32.586,0,1500,1306,198,0,0,1298714,0
5080,30.00,32.289,44,1161,1306,198,1,0,1298714,0
5196,30.00,31.165,0,1203,1306,199,0,0,1305225,0
5326,30.00,33.238,0,1203,1306,199,0,0,1305225,0
5456,30.00,31.581,0,1205,1306,199,0,0,1305225,0
5557,30.00,31.978,0,1251,1306,199,0,0,1305225,0
5677,30.00,32.731,0,1251,1306,199,0,0,1305225,0
5807,30.00,31.886,0,1251,1306,199,0,0,1305225,0
5936,30.00,31.104,0,1253,1306,199,0,0,1305225,0
6068,30.00,35.181,0,1325,1306,199,0,0,1305225,0
6192,30.00,31.416,0,1327,1306,200,0,0,1310006,0
