timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
155,0.00,100.000,4,16,10,0,4,10,0,0
264,0.00,100.000,0,70,20,0,8,10,0,0
448,0.00,82.904,0,148,40,0,16,10,0,0
559,0.00,100.000,6,41,50,0,20,10,0,0
660,0.00,100.000,0,85,60,0,24,10,0,0
787,0.00,61.935,6,69,80,0,32,10,0,0
956,0.00,63.988,0,167,100,2,37,10,14681,0
1140,12.00,92.041,6,104,120,3,45,10,21948,0
1255,12.00,91.347,0,150,130,3,49,10,21948,0
1391,12.00,64.032,0,238,150,3,57,10,21948,0
1531,12.00,64.035,8,99,170,3,64,10,21948,0
1642,12.00,76.467,0,143,180,4,66,10,28000,0
1748,12.00,100.000,0,183,190,6,70,10,41090,0
1924,12.00,90.061,0,275,210,6,78,10,41090,0
2038,12.00,84.937,0,317,220,6,82,10,41090,0
2141,11.00,100.000,0,363,230,6,86,10,41090,0
2259,11.00,100.000,13,162,240,6,90,10,41090,0
2413,11.00,86.426,0,242,260,8,96,10,53280,0
2523,11.00,67.395,0,292,270,8,99,10,53280,0
2643,11.00,100.000,0,340,280,9,103,10,60478,0
2751,11.00,100.000,0,390,290,9,107,10,60478,0
2898,11.00,78.571,10,226,310,9,115,10,60478,0
3039,11.00,73.361,0,328,330,9,121,10,60478,0
3199,12.00,74.166,0,432,350,11,127,10,71616,0
3375,12.00,76.530,10,281,370,12,134,10,80633,0
3535,12.00,88.150,0,373,390,12,142,10,80633,0
3690,12.00,69.848,9,245,410,13,147,10,86758,0
3825,12.00,62.019,0,331,430,14,150,10,93804,0
3966,12.00,76.271,0,427,450,14,156,10,93804,0
4119,12.00,90.840,9,309,470,15,155,10,101683,0
4278,13.00,77.225,0,409,490,16,161,10,106918,0
4440,13.00,86.313,0,513,510,17,168,10,113304,0
4595,13.00,82.402,9,345,530,18,167,10,119693,0
4744,13.00,61.766,0,441,550,19,173,10,125136,0
4899,13.00,81.392,0,549,570,19,173,10,125136,0
5064,13.00,86.367,18,311,590,20,173,10,132732,0
5207,13.00,72.390,0,415,610,21,171,10,139465,0
5366,13.00,75.037,6,277,630,22,173,10,146506,0
5515,13.00,69.370,0,381,650,22,173,10,146506,0
5666,13.00,84.101,0,481,670,22,173,10,146506,0
5838,13.00,77.059,12,258,690,23,172,10,154502,0
5989,13.00,68.226,0,364,710,25,171,10,170585,0
6139,13.00,78.378,0,464,730,25,170,10,170585,0
6299,13.00,76.037,12,260,750,26,170,10,177119,0
6460,13.00,83.470,0,368,770,26,169,10,177119,0
6625,13.00,77.474,0,478,790,27,168,10,185040,0
6798,13.00,86.538,13,315,810,28,168,9,192846,0
6951,13.00,74.109,0,409,825,28,168,6,192846,0
7109,13.00,82.086,0,517,837,29,167,6,201981,0
7273,12.00,80.178,0,615,849,30,166,6,210342,0
7442,12.00,75.312,13,378,861,31,165,6,218141,0
7609,12.00,84.748,0,488,873,32,164,6,224676,0
7771,12.00,77.653,0,594,885,32,163,6,224676,0
7944,12.00,82.519,18,293,897,33,163,6,231190,0
8099,12.00,68.868,0,399,909,34,161,6,238256,0
8254,12.00,75.229,0,501,921,35,160,6,244141,0
8359,12.00,13.532,0,589,975,36,160,6,249359,0
8470,12.00,13.653,7,379,1023,36,160,6,249359,0
8580,12.00,13.664,0,479,1071,38,158,6,262768,0
8689,12.00,13.609,0,575,1119,38,158,6,262768,0
8802,12.00,14.328,0,675,1167,39,157,6,271290,0
8911,12.00,13.759,16,391,1215,39,157,6,271290,0
9020,12.00,13.608,0,491,1263,41,156,6,287141,0
9131,64.00,13.206,0,573,1276,41,156,0,287141,0
9241,64.00,13.788,0,655,1276,42,155,0,295064,0
9352,64.00,13.479,20,400,1276,42,155,0,295064,0
9463,64.00,13.736,0,486,1276,44,153,0,310655,0
9574,64.00,13.953,0,574,1288,44,153,6,310655,0
9685,64.00,14.108,0,664,1310,45,152,0,319604,0
9798,64.00,29.986,17,425,1310,45,152,0,319604,0
9909,64.00,13.880,9,406,1310,46,151,0,327303,0
10020,64.00,14.165,0,492,1310,47,150,0,335323,0
10133,72.00,13.981,0,574,1310,47,150,0,335323,0
10245,72.00,13.909,0,660,1310,48,149,0,344286,0
10358,72.00,13.945,10,453,1310,50,147,0,357378,0
10459,72.00,14.220,0,521,1310,50,147,0,357378,0
10572,72.00,13.848,0,599,1310,51,146,0,363489,0
10685,72.00,14.298,0,681,1310,53,144,0,374355,0
10800,72.00,14.146,16,366,1310,53,144,0,374355,0
10913,72.00,14.559,0,442,1310,53,144,0,374355,0
11026,72.00,13.889,0,528,1310,54,143,0,380610,0
11138,70.00,14.136,0,616,1335,56,141,0,393233,0
11238,70.00,14.220,0,696,1359,56,141,0,393233,0
11338,70.00,3.574,20,406,1359,56,141,0,393233,0
11438,70.00,14.081,14,387,1359,56,141,0,393233,0
11540,70.00,12.328,0,469,1359,59,138,0,412049,0
11640,70.00,14.418,0,537,1359,59,138,0,412049,0
11752,70.00,14.202,0,617,1359,59,138,0,412049,0
11853,70.00,14.506,0,697,1359,60,136,0,417778,0
11953,70.00,14.290,0,773,1359,61,136,0,424294,0
12055,70.00,13.935,16,389,1359,62,135,0,432880,0
12156,70.00,14.499,0,463,1359,62,135,0,432880,0
12258,70.00,14.631,0,541,1359,62,135,0,432880,0
12359,70.00,14.313,0,619,1359,64,133,0,446921,0
12461,70.00,14.605,0,695,1359,65,132,0,453283,0
12563,70.00,14.503,0,769,1359,65,132,0,453283,0
12665,70.00,13.389,0,845,1359,66,131,0,459837,0
12776,70.00,12.971,37,363,1372,66,131,0,459837,0
12877,70.00,14.988,0,441,1372,67,130,0,467554,0
12981,70.00,14.954,0,521,1372,68,129,0,475469,0
13085,70.00,14.859,0,599,1372,69,128,0,481600,0
13190,68.00,15.116,0,681,1372,70,127,0,487921,0
13294,68.00,15.022,0,759,1372,70,127,0,487921,0
13400,68.00,14.838,0,841,1372,71,126,0,495148,0
13505,68.00,15.238,18,442,1372,72,125,0,502594,0
13611,68.00,14.929,0,524,1372,73,124,0,509913,0
13717,68.00,15.253,0,600,1372,73,124,0,509913,0
13823,68.00,15.248,0,680,1372,74,123,0,516488,0
13931,68.00,15.284,0,762,1351,75,122,6,522854,0
14040,68.00,15.521,0,854,1379,76,121,0,527299,0
14169,66.00,29.366,40,428,1379,77,120,0,535772,0
14271,66.00,15.628,2,428,1379,77,120,0,535772,0
14383,66.00,16.029,0,512,1379,78,119,0,542148,0
14495,66.00,15.776,0,598,1379,79,118,0,548358,0
14606,66.00,15.911,0,680,1379,80,117,0,556128,0
14716,66.00,15.584,0,766,1381,81,116,0,562762,0
14832,66.00,16.624,0,850,1381,81,116,0,562762,0
14937,66.00,16.167,18,446,1381,82,115,0,570267,0
15049,66.00,16.309,0,528,1381,83,114,0,576914,0
15149,61.00,17.601,0,606,1381,85,112,0,588923,0
15256,61.00,20.225,0,680,1381,85,112,0,588923,0
15366,61.00,13.758,0,758,1381,85,112,0,588923,0
15479,61.00,16.421,0,840,1381,88,109,0,606952,0
15608,61.00,30.157,22,419,1381,88,109,0,606952,0
15710,61.00,32.411,20,427,1381,88,109,0,606952,0
15812,61.00,16.686,1,435,1381,88,109,0,606952,0
15913,61.00,17.332,0,521,1382,91,106,0,627088,0
16016,61.00,17.329,0,601,1382,91,106,0,627088,0
16119,60.00,17.363,0,677,1382,92,105,0,631486,0
16223,60.00,17.650,0,755,1382,94,103,0,640652,0
16330,60.00,18.346,0,835,1382,94,103,0,640652,0
16439,60.00,17.588,13,428,1382,94,103,0,640652,0
16539,60.00,17.126,0,496,1382,94,103,0,640652,0
16654,60.00,16.275,0,590,1382,96,101,0,655788,0
16767,60.00,16.557,0,674,1382,97,100,0,663988,0
16870,60.00,16.688,0,752,1366,97,100,6,663988,0
16984,60.00,16.266,0,842,1382,97,100,0,663988,0
17085,60.00,17.050,0,922,1382,98,99,0,672252,0
17200,59.00,16.660,0,1016,1382,100,97,0,688944,0
