timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
117,0.00,24.479,6,46,30,0,12,10,0,0
222,0.00,12.869,19,139,120,4,44,10,28869,0
327,0.00,8.926,12,181,200,7,73,10,47822,0
435,0.00,12.758,12,332,290,11,105,10,72026,0
540,0.00,13.123,18,390,370,16,130,10,107328,0
642,0.00,14.245,20,575,440,22,146,10,146916,0
755,0.00,14.356,32,678,510,28,159,10,195624,0
858,0.00,12.637,34,588,570,34,160,10,232907,0
1007,61.00,49.858,40,578,650,42,155,10,287910,0
1161,61.00,16.059,48,656,730,51,154,10,354236,0
1262,61.00,16.077,0,1322,800,62,142,10,416664,0
1369,61.00,14.807,45,945,849,67,137,6,450194,0
1479,61.00,14.331,0,1509,891,77,128,6,518255,0
1609,61.00,82.258,66,958,915,84,121,6,560400,0
1721,61.00,16.621,0,1630,957,95,109,6,626967,0
1854,61.00,84.139,66,1137,981,102,103,6,672498,0
1972,50.00,18.366,0,1769,1023,113,91,6,746381,0
2182,50.00,83.488,98,1268,1059,123,82,6,804314,0
2285,50.00,20.499,0,1734,1095,129,76,6,850699,0
2412,50.00,34.097,60,1453,1125,135,69,6,888330,0
2514,50.00,31.823,51,1606,1149,140,64,6,915465,0
2623,50.00,22.370,0,2096,1179,148,57,6,967940,0
2732,50.00,21.265,0,2626,1209,156,48,6,1023603,0
2852,50.00,24.754,69,1666,1221,161,44,6,1062727,0
2952,40.00,22.688,0,2134,1251,170,35,6,1111807,0
3082,40.00,36.519,63,999,1275,175,29,6,1143248,0
3190,40.00,26.189,0,1553,1298,184,20,0,1201948,0
3358,40.00,85.034,58,906,1298,194,11,0,1269157,0
3502,40.00,49.141,0,1886,1298,204,0,0,1338790,0
3615,40.00,27.749,0,1898,1298,205,0,0,1344557,0
3738,40.00,31.227,0,1898,1298,205,0,0,1344557,0
3861,40.00,30.893,0,1898,1298,205,0,0,1344557,0
3991,31.00,32.806,0,1900,1298,205,0,0,1344557,0
4119,31.00,32.467,0,1900,1298,205,0,0,1344557,0
4240,31.00,32.284,0,1902,1298,205,0,0,1344557,0
4369,31.00,31.297,0,1902,1298,205,0,0,1344557,0
4499,31.00,31.782,0,1902,1298,205,0,0,1344557,0
4648,31.00,31.057,0,1904,1298,205,0,0,1344557,0
4748,31.00,39.876,0,1904,1298,205,0,0,1344557,0
4874,31.00,34.309,0,2000,1298,206,0,0,1351068,0
5001,31.00,31.497,0,2000,1298,206,0,0,1351068,0
5128,31.00,30.853,0,2000,1298,206,0,0,1351068,0
5259,31.00,31.938,0,2002,1298,206,0,0,1351068,0
5383,31.00,31.436,0,2054,1298,206,0,0,1351068,0
5511,31.00,31.444,0,2054,1298,206,0,0,1351068,0
5642,31.00,32.837,0,2056,1298,206,0,0,1351068,0
5777,31.00,31.888,0,2122,1298,206,1,0,1351068,0
5901,31.00,32.340,0,2154,1298,207,0,0,1355849,0
6031,31.00,31.885,0,2154,1298,207,0,0,1355849,0
6162,31.00,32.300,0,2154,1298,207,0,0,1355849,0
6262,31.00,31.402,0,2220,1298,207,0,6,1355849,0
6389,31.00,31.659,0,2226,1316,207,0,6,1355849,0
6518,31.00,32.584,0,2228,1322,207,0,0,1355849,0
6647,31.00,31.413,0,2228,1322,207,0,0,1355849,0
6748,31.00,31.410,0,2274,1322,207,0,0,1355849,0
6874,31.00,32.555,0,2274,1322,207,0,0,1355849,0
7003,31.00,32.171,0,2274,1322,207,0,0,1355849,0
7131,31.00,32.420,0,2276,1322,207,0,0,1355849,0
7260,31.00,31.507,0,2278,1322,207,0,0,1355849,0
7387,31.00,31.775,0,2278,1322,207,0,0,1355849,0
7517,31.00,33.273,0,2278,1322,207,0,0,1355849,0
7643,31.00,31.973,0,2278,1322,207,0,0,1355849,0
7770,31.00,32.178,0,2280,1322,207,0,0,1355849,0
7900,31.00,32.846,0,2280,1322,207,0,0,1355849,0
8028,31.00,31.217,0,2280,1322,207,0,0,1355849,0
8157,31.00,32.770,0,2282,1322,207,0,0,1355849,0
8285,31.00,31.505,0,2282,1322,207,0,0,1355849,0
8411,31.00,30.913,0,2282,1322,207,0,0,1355849,0
8540,31.00,31.708,0,2282,1322,207,0,0,1355849,0
8674,31.00,33.252,0,2340,1330,207,1,6,1355849,0
8799,31.00,34.399,0,2384,1354,208,0,0,1362731,0
8931,31.00,31.854,0,2384,1354,208,0,0,1362731,0
9056,31.00,31.329,0,2384,1354,208,0,0,1362731,0
9230,31.00,31.286,75,851,1354,208,1,0,1362731,0
9346,31.00,33.152,0,893,1354,209,0,0,1369931,0
9474,31.00,32.913,0,897,1367,209,0,1,1369931,0
9601,31.00,31.951,0,897,1368,209,0,0,1369931,0
9701,31.00,30.467,0,963,1368,209,4,0,1369931,0
9826,31.00,31.235,0,1185,1368,213,0,0,1399884,0
9954,29.00,31.738,0,1185,1368,213,0,0,1399884,0
10079,29.00,33.068,0,1185,1368,213,0,0,1399884,0
10214,29.00,35.141,0,1247,1368,213,0,0,1399884,0
10335,29.00,30.798,0,1247,1368,213,0,0,1399884,0
10462,29.00,31.120,0,1249,1368,213,0,0,1399884,0
10588,29.00,31.035,0,1249,1368,213,0,0,1399884,0
10690,29.00,32.551,0,1309,1368,213,0,0,1399884,0
10811,29.00,31.359,0,1309,1368,213,0,0,1399884,0
10941,32.00,33.839,0,1311,1370,213,0,0,1399884,0
11068,32.00,32.122,0,1317,1380,213,0,2,1399884,0
11171,32.00,34.094,0,1509,1382,213,4,0,1399884,0
11272,32.00,33.623,0,1683,1382,220,0,0,1437772,0
11403,32.00,31.190,0,1685,1382,220,0,0,1437772,0
11536,32.00,32.774,0,1685,1382,220,0,0,1437772,0
11639,32.00,31.203,0,1763,1382,220,2,0,1437772,0
11767,32.00,33.352,0,1817,1382,222,0,0,1447300,0
11902,32.00,34.592,0,1819,1382,222,0,0,1447300,0
12032,30.00,34.416,0,1819,1382,222,0,0,1447300,0
12134,30.00,31.723,0,1827,1382,222,0,0,1447300,0
12262,30.00,32.265,0,1829,1382,222,0,0,1447300,0
12363,30.00,34.022,0,1829,1382,222,0,0,1447300,0
12464,30.00,34.224,0,1829,1382,222,0,0,1447300,0
12565,30.00,34.843,0,1833,1372,222,0,6,1447300,0
12672,30.00,37.312,0,1981,1381,225,0,0,1460158,0
12772,30.00,33.383,0,1983,1381,225,0,0,1460158,0
12873,30.00,32.928,0,1983,1381,225,0,0,1460158,0
12977,30.00,33.101,0,1983,1381,225,0,0,1460158,0
13080,30.00,33.382,0,1983,1381,225,0,0,1460158,0
13186,30.00,36.959,0,2093,1381,225,0,0,1460158,0
13287,30.00,35.192,0,2095,1381,227,0,0,1469401,0
13389,30.00,33.934,0,2095,1381,227,0,0,1469401,0
13494,30.00,34.158,0,2095,1381,227,0,0,1469401,0
13597,30.00,33.554,0,2095,1381,227,0,0,1469401,0
13707,30.00,35.872,0,2141,1381,227,0,0,1469401,0
13840,30.00,33.620,0,2145,1366,227,0,6,1469401,0
13946,29.00,34.547,0,2149,1382,227,0,0,1469401,0
14054,29.00,34.150,0,2149,1382,227,0,0,1469401,0
14156,29.00,33.916,0,2149,1382,227,0,0,1469401,0
14268,29.00,40.463,0,2343,1382,230,0,0,1489228,0
14370,29.00,34.465,0,2343,1382,230,0,0,1489228,0
14477,29.00,36.196,0,2343,1382,230,0,0,1489228,0
14584,29.00,34.639,0,2347,1382,230,0,0,1489228,0
14691,29.00,33.516,0,2347,1382,230,0,0,1489228,0
14796,29.00,37.146,0,2431,1382,231,0,0,1495357,0
14900,29.00,34.901,0,2433,1382,231,0,0,1495357,0
15012,28.00,38.311,0,2433,1382,231,0,0,1495357,0
15115,28.00,32.730,0,2433,1382,231,0,0,1495357,0
15222,28.00,35.338,0,2433,1382,231,0,0,1495357,0
15328,28.00,38.165,0,2583,1382,233,0,0,1509465,0
15434,28.00,35.699,0,2585,1382,233,0,0,1509465,0
15545,28.00,35.979,0,2585,1382,233,0,0,1509465,0
15651,28.00,34.741,0,2585,1382,233,0,0,1509465,0
15756,28.00,34.953,0,2589,1380,233,0,2,1509465,0
15892,28.00,37.068,94,1012,1382,233,1,0,1509465,0
16019,26.00,35.089,0,1050,1382,234,0,0,1517206,0
16125,26.00,34.343,0,1052,1382,234,0,0,1517206,0
16228,26.00,35.233,0,1052,1382,234,0,0,1517206,0
16331,26.00,35.009,0,1052,1382,234,0,0,1517206,0
16436,26.00,34.805,0,1060,1382,234,0,0,1517206,0
16537,26.00,34.029,0,1060,1382,234,0,0,1517206,0
16640,26.00,34.326,0,1060,1382,234,0,0,1517206,0
16744,26.00,32.349,0,1066,1360,234,0,6,1517206,0
16847,26.00,34.625,0,1070,1378,234,0,3,1517206,0
16962,29.00,40.103,0,1262,1381,234,0,0,1517206,0
17091,29.00,31.977,0,1262,1381,236,0,0,1533328,0
17194,29.00,33.197,0,1264,1381,236,0,0,1533328,0
17297,29.00,35.302,0,1264,1381,236,0,0,1533328,0
17398,29.00,32.718,0,1264,1381,236,0,0,1533328,0
17529,29.00,31.906,0,1272,1381,236,0,0,1533328,0
17659,29.00,31.274,0,1272,1381,236,0,0,1533328,0
17789,29.00,33.993,0,1272,1381,236,0,0,1533328,0
17926,29.00,31.544,0,1338,1348,236,1,6,1533328,0
18049,30.00,32.998,0,1384,1372,237,0,6,1539243,0
18177,30.00,30.881,0,1384,1381,237,0,0,1539243,0
18304,30.00,30.853,0,1386,1381,237,0,0,1539243,0
18426,30.00,30.530,0,1388,1381,237,0,0,1539243,0
18549,30.00,30.367,0,1390,1381,237,0,0,1539243,0
18671,30.00,30.239,0,1390,1381,237,0,0,1539243,0
18791,30.00,30.167,0,1390,1381,237,0,0,1539243,0
18916,30.00,30.582,0,1408,1381,237,0,1,1539243,0
19036,32.00,29.766,0,1408,1382,237,0,0,1539243,0
19156,32.00,30.147,0,1408,1382,237,0,0,1539243,0
19275,32.00,29.901,0,1408,1382,237,0,0,1539243,0
19394,32.00,29.631,0,1410,1382,237,0,0,1539243,0
19513,32.00,29.949,0,1412,1382,237,0,0,1539243,0
19634,32.00,29.773,0,1414,1355,237,0,6,1539243,0
19764,32.00,29.834,0,1468,1379,237,1,3,1539243,0
19871,32.00,28.599,0,1484,1382,238,0,0,1543341,0
19991,33.00,29.991,0,1484,1382,238,0,0,1543341,0
20112,33.00,29.970,0,1486,1375,238,0,6,1543341,0
20232,33.00,29.782,0,1488,1382,238,0,0,1543341,0
20353,33.00,29.869,0,1490,1382,238,0,0,1543341,0
20474,33.00,29.873,0,1490,1382,238,0,0,1543341,0
20595,33.00,29.688,0,1510,1355,238,0,6,1543341,0
20721,33.00,33.259,0,1710,1379,241,0,3,1562388,0
20837,33.00,29.785,0,1728,1382,241,0,0,1562388,0
20958,33.00,29.903,0,1748,1382,241,0,0,1562388,0
21078,33.00,30.275,0,1766,1382,241,0,0,1562388,0
21198,33.00,30.000,0,1852,1382,242,0,0,1567913,0
21317,33.00,30.198,0,1876,1381,242,0,0,1567913,0
21437,33.00,29.833,0,1894,1381,242,0,0,1567913,0
21565,33.00,29.828,0,1996,1381,242,2,0,1567913,0
21679,33.00,28.498,0,2050,1381,244,0,0,1579498,0
21798,33.00,30.147,0,2070,1381,244,0,0,1579498,0
21919,33.00,30.285,0,2088,1381,244,0,0,1579498,0
22039,34.00,30.163,0,2114,1381,244,0,0,1579498,0
22160,34.00,30.077,0,2138,1372,244,0,6,1579498,0
22279,34.00,30.178,0,2158,1382,244,0,0,1579498,0
22399,34.00,29.998,0,2178,1382,244,0,0,1579498,0
22502,34.00,36.132,0,2420,1382,246,1,0,1593322,0
22617,34.00,29.783,0,2470,1382,248,0,0,1609011,0
22734,34.00,28.685,0,2492,1382,248,0,0,1609011,0
22857,34.00,29.884,0,2514,1346,248,0,6,1609011,0
23044,34.00,28.981,122,1154,1358,248,4,6,1609011,0
23146,33.00,29.392,0,1348,1382,252,0,0,1638626,0
23265,33.00,30.286,0,1368,1382,252,0,0,1638626,0
23385,33.00,29.625,0,1388,1382,252,0,0,1638626,0
23509,33.00,33.535,0,1526,1382,253,0,0,1644767,0
23632,33.00,30.154,0,1546,1382,254,0,0,1652222,0
23748,33.00,30.235,0,1552,1382,254,0,0,1652222,0
23871,33.00,29.862,0,1558,1355,254,0,6,1652222,0
23971,33.00,34.311,0,1738,1361,254,1,6,1652222,0
24088,31.00,29.881,0,1746,1381,256,0,0,1667976,0
24209,31.00,30.097,0,1746,1381,256,0,0,1667976,0
24330,31.00,29.706,0,1748,1381,256,0,0,1667976,0
24464,31.00,36.286,0,2078,1381,259,2,0,1688084,0
24584,31.00,30.255,0,2106,1381,263,0,0,1709813,0
24706,31.00,30.370,0,2106,1381,263,0,0,1709813,0
24829,31.00,30.292,0,2106,1381,263,0,0,1709813,0
24952,31.00,31.010,0,2168,1369,264,0,6,1715857,0
25074,32.00,29.391,0,2170,1382,264,0,0,1715857,0
25202,32.00,30.985,0,2170,1382,264,0,0,1715857,0
25334,32.00,31.886,0,2214,1382,264,1,0,1715857,0
25453,32.00,30.379,0,2238,1382,265,0,0,1720737,0
25582,32.00,33.286,0,2246,1374,265,0,6,1720737,0
25713,32.00,32.233,0,2248,1382,265,0,0,1720737,0
25816,32.00,31.824,0,2366,1366,265,3,6,1720737,0
25944,32.00,32.438,0,2432,1381,268,0,0,1735756,0
26073,31.00,30.706,0,2432,1381,268,0,0,1735756,0
26205,31.00,33.503,0,2434,1381,268,0,1,1735756,0
26308,31.00,32.821,0,2478,1382,268,2,0,1735756,0
26432,31.00,31.321,0,2530,1382,270,0,0,1744386,0
26534,31.00,34.386,0,2530,1382,270,0,0,1744386,0
26634,31.00,32.528,0,2536,1368,270,0,6,1744386,0
26734,31.00,34.438,0,2538,1382,270,0,0,1744386,0
26836,31.00,35.811,0,2676,1382,271,0,0,1748360,0
26936,31.00,33.695,0,2676,1382,273,0,0,1758785,0
27038,30.00,34.706,0,2676,1382,273,0,0,1758785,0
27138,30.00,32.590,0,2678,1382,273,0,0,1758785,0
27270,30.00,34.213,0,2678,1382,273,0,0,1758785,0
27372,30.00,34.727,0,2724,1382,274,0,0,1763145,0
27474,30.00,33.942,0,2724,1382,274,0,0,1763145,0
27577,30.00,32.523,0,2730,1358,274,0,6,1763145,0
27681,30.00,35.525,0,2736,1376,274,0,5,1763145,0
27784,30.00,35.190,0,2736,1381,274,0,0,1763145,0
27927,30.00,34.071,99,1415,1381,274,3,0,1763145,0
28054,27.00,33.721,0,1513,1381,277,0,0,1782710,0
28162,27.00,34.216,0,1513,1381,277,0,0,1782710,0
28262,27.00,33.610,0,1513,1381,277,0,0,1782710,0
28365,27.00,34.125,0,1515,1381,277,0,0,1782710,0
28473,27.00,36.733,0,1643,1381,277,0,0,1782710,0
28573,27.00,33.591,0,1645,1381,279,0,0,1796447,0
28676,27.00,33.516,0,1645,1381,279,0,0,1796447,0
28779,27.00,33.641,0,1645,1381,279,0,0,1796447,0
28882,27.00,33.597,0,1651,1368,279,0,6,1796447,0
28990,27.00,37.069,0,1847,1382,279,2,0,1796447,0
29090,30.00,35.153,0,1857,1382,282,0,0,1818275,0
29194,30.00,35.755,0,1857,1382,282,0,0,1818275,0
29298,30.00,35.490,0,1857,1382,282,0,0,1818275,0
29400,30.00,33.953,0,1863,1367,282,0,6,1818275,0
29516,30.00,37.041,0,2039,1381,282,0,0,1818275,0
29617,30.00,35.593,0,2041,1353,285,0,6,1836559,0
29753,30.00,36.547,0,2049,1371,285,0,6,1836559,0
29854,30.00,34.166,0,2049,1378,285,0,0,1836559,0
29954,30.00,33.398,0,2049,1378,285,0,0,1836559,0
30056,29.00,34.508,0,2113,1378,286,0,0,1843246,0
30189,29.00,34.170,0,2113,1378,286,0,0,1843246,0
30322,29.00,33.600,0,2113,1378,286,0,0,1843246,0
30454,29.00,33.912,0,2117,1358,286,0,6,1843246,0
30560,29.00,36.509,0,2291,1376,289,0,4,1862357,0
30685,29.00,31.681,0,2291,1380,289,0,0,1862357,0
30817,29.00,33.243,0,2291,1380,289,0,0,1862357,0
30947,29.00,31.816,0,2291,1380,289,0,0,1862357,0
31074,30.00,30.583,0,2297,1380,289,0,0,1862357,0
31201,30.00,32.497,0,2297,1380,289,0,0,1862357,0
31329,30.00,32.507,0,2297,1380,289,0,0,1862357,0
31462,30.00,32.389,0,2355,1350,289,2,6,1862357,0
31582,30.00,30.954,0,2461,1357,291,0,6,1878044,0
31705,30.00,30.456,0,2465,1377,291,0,0,1878044,0
31827,30.00,30.167,0,2465,1377,291,0,0,1878044,0
31952,30.00,31.821,0,2517,1377,291,0,0,1878044,0
32072,32.00,30.958,0,2519,1377,292,0,0,1883814,0
32194,32.00,29.715,0,2519,1377,292,0,0,1883814,0
32315,32.00,29.727,0,2519,1377,292,0,0,1883814,0
32436,32.00,29.815,0,2521,1353,292,0,6,1883814,0
32556,32.00,30.131,0,2529,1377,292,0,3,1883814,0
32675,32.00,29.677,0,2529,1380,292,0,0,1883814,0
32795,32.00,29.793,0,2529,1380,292,0,0,1883814,0
32916,32.00,30.165,0,2529,1380,292,0,0,1883814,0
33036,33.00,29.968,0,2531,1380,292,0,0,1883814,0
33155,33.00,30.032,0,2531,1380,292,0,0,1883814,0
33283,33.00,29.924,0,2535,1352,292,0,6,1883814,0
33397,33.00,30.246,0,2541,1376,292,0,4,1883814,0
33517,33.00,29.774,0,2541,1380,292,0,0,1883814,0
33636,33.00,29.610,0,2543,1380,292,0,0,1883814,0
33756,33.00,29.795,0,2543,1380,292,0,0,1883814,0
33875,33.00,30.088,0,2543,1380,292,0,0,1883814,0
33996,33.00,29.991,0,2543,1380,292,0,0,1883814,0
34115,33.00,29.591,0,2549,1347,292,0,6,1883814,0
34239,33.00,31.238,0,2599,1371,293,0,6,1888269,0
34356,33.00,29.280,0,2601,1379,293,0,0,1888269,0
34474,33.00,29.482,0,2601,1379,293,0,0,1888269,0
34593,33.00,29.936,0,2601,1379,293,0,0,1888269,0
34714,33.00,30.121,0,2603,1379,293,0,0,1888269,0
34835,33.00,29.899,0,2607,1375,293,0,6,1888269,0
34955,33.00,30.003,0,2607,1382,293,0,0,1888269,0
35079,34.00,29.986,0,2607,1382,293,0,0,1888269,0
35196,34.00,30.372,0,2615,1371,293,0,6,1888269,0
35315,34.00,30.206,0,2617,1382,293,0,0,1888269,0
