timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms,bytes_written_total,chunks_saved_total,io_flush_ms
105,0.00,46.585,2,43,10,0,3,0,0,0,0,0,0
233,0.00,21.381,22,94,50,0,21,0,0,0,0,0,0
342,0.00,10.253,8,211,118,3,43,0,34097,0,0,0,0
476,0.00,9.313,26,214,188,6,66,0,60434,0,0,0,0
585,0.00,42.024,20,261,258,10,89,0,94044,0,0,0,0
716,0.00,14.023,23,324,348,14,118,0,126023,0,0,0,0
823,0.00,15.045,0,542,438,19,143,0,163573,0,0,0,0
938,52.00,11.549,25,548,508,24,154,0,201813,0,0,0,0
1064,52.00,49.317,36,588,578,31,153,0,248906,0,0,0,0
1165,52.00,15.925,0,866,658,40,150,0,310630,0,0,0,0
1273,52.00,12.738,42,707,708,43,148,0,329998,0,0,0,0
1379,52.00,14.192,0,1081,788,55,139,0,404450,0,0,0,0
1494,52.00,15.520,56,1056,838,63,131,0,458810,0,0,0,0
1601,52.00,15.169,0,1340,908,72,123,0,524777,0,0,0,0
1760,52.00,77.312,66,1145,963,83,111,0,594695,0,0,0,0
1866,52.00,18.543,30,769,995,95,100,0,678282,0,0,0,0
2043,55.00,81.108,71,727,1031,116,80,0,809085,0,0,0,0
2155,55.00,22.120,0,1227,1067,137,59,0,941167,0,0,0,0
2281,55.00,99.031,79,899,1079,144,52,0,985872,0,0,0,0
2385,55.00,26.578,0,1389,1109,162,34,0,1104866,0,0,0,0
2489,55.00,7.068,76,1066,1120,165,30,0,1127853,0,0,0,0
2599,55.00,28.858,0,1670,1145,184,10,0,1245096,0,0,0,0
2731,55.00,8.723,100,1357,1157,190,6,0,1277419,0,0,0,0
2852,55.00,91.870,2,1273,1175,196,0,0,1304533,0,0,0,0
2955,30.00,26.377,0,1287,1199,196,0,0,1304533,0,0,0,0
3076,30.00,31.371,0,1303,1223,196,0,0,1304533,0,0,0,0
3200,30.00,31.630,0,1317,1247,196,0,0,1304533,0,0,0,0
3304,30.00,35.206,0,1341,1265,196,0,0,1304533,0,0,0,0
3437,30.00,34.902,0,1347,1281,196,0,0,1304533,0,0,0,0
3541,30.00,33.998,0,1347,1281,196,0,0,1304533,0,0,0,0
3648,30.00,34.758,0,1349,1281,196,0,0,1304533,0,0,0,0
3751,30.00,36.850,0,1349,1281,196,0,0,1304533,0,0,0,0
3855,30.00,35.712,0,1373,1281,197,0,0,1310658,0,0,0,0
3960,30.00,35.843,0,1373,1281,197,0,0,1310658,0,0,0,0
4066,30.00,34.882,0,1373,1281,197,0,0,1310658,0,0,0,0
4168,30.00,65.999,0,1373,1281,197,0,0,1310658,0,0,0,0
4274,30.00,44.116,0,1373,1281,197,0,0,1310658,0,0,0,0
4385,30.00,34.466,0,1423,1281,197,0,0,1310658,0,0,0,0
4485,30.00,34.434,0,1423,1281,197,0,0,1310658,0,0,0,0
4592,30.00,34.978,0,1423,1281,197,0,0,1310658,0,0,0,0
4697,30.00,34.157,0,1423,1281,197,0,0,1310658,0,0,0,0
4805,30.00,35.112,0,1423,1281,197,0,0,1310658,0,0,0,0
4912,30.00,34.524,0,1493,1281,197,0,0,1310658,0,0,0,0
5013,28.00,34.505,0,1493,1281,197,0,0,1310658,0,0,0,0
5121,28.00,35.520,0,1493,1281,197,0,0,1310658,0,0,0,0
5228,28.00,34.768,0,1493,1281,197,0,0,1310658,0,0,0,0
5330,28.00,34.953,0,1495,1281,197,0,0,1310658,0,0,0,0
5440,28.00,34.724,0,1513,1281,197,0,0,1310658,0,0,0,0
5541,28.00,34.251,0,1515,1281,197,0,0,1310658,0,0,0,0
5649,28.00,34.965,0,1515,1281,197,0,0,1310658,0,0,0,0
5752,28.00,34.050,0,1515,1281,197,0,0,1310658,0,0,0,0
5855,28.00,33.541,0,1515,1281,197,0,0,1310658,0,0,0,0
5957,28.00,34.735,0,1525,1281,197,0,0,1310658,0,0,0,0
6060,28.00,34.657,0,1525,1281,197,0,0,1310658,0,0,0,0
6164,28.00,33.379,0,1529,1281,197,0,0,1310658,0,0,0,0
6269,28.00,33.858,0,1537,1293,197,0,0,1310658,0,0,0,0
6373,28.00,33.907,0,1545,1311,197,0,0,1310658,0,0,0,0
6478,28.00,33.865,0,1591,1313,197,0,0,1310658,0,0,0,0
6578,28.00,34.727,0,1593,1313,197,0,0,1310658,0,0,0,0
6681,28.00,35.012,0,1593,1313,197,0,0,1310658,0,0,0,0
6783,28.00,34.809,0,1593,1313,197,0,0,1310658,0,0,0,0
6884,28.00,33.672,0,1593,1313,197,0,0,1310658,0,0,0,0
6990,30.00,33.129,0,1623,1313,197,1,0,1310658,0,0,0,0
7117,30.00,32.183,0,1633,1313,198,0,0,1316433,0,0,0,0
7218,30.00,35.843,0,1633,1313,198,0,0,1316433,0,0,0,0
7320,30.00,34.432,0,1635,1313,198,0,0,1316433,0,0,0,0
7422,30.00,32.290,0,1635,1313,198,0,0,1316433,0,0,0,0
7553,30.00,34.854,0,1667,1313,199,0,0,1322781,0,0,0,0
7654,30.00,32.006,0,1667,1313,199,0,0,1322781,0,0,0,0
7782,30.00,32.375,0,1669,1313,199,0,0,1322781,0,0,0,0
7884,30.00,34.100,0,1669,1313,199,0,0,1322781,0,0,0,0
7984,30.00,31.809,0,1671,1313,199,0,0,1322781,0,0,0,0
8084,30.00,33.831,0,1671,1313,199,0,0,1322781,0,0,0,0
8218,30.00,33.754,0,1671,1313,199,0,0,1322781,0,0,0,0
8348,30.00,34.251,0,1671,1313,199,0,0,1322781,0,0,0,0
8491,30.00,34.093,0,1673,1313,199,0,0,1322781,0,0,0,0
