timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms,bytes_written_total,chunks_saved_total,io_flush_ms
138,0.00,94.795,7,70,20,0,8,0,0,0,0,0,0
244,0.00,36.306,18,143,50,1,19,0,11209,0,0,0,0
357,0.00,9.896,9,200,120,4,45,0,40369,0,0,0,0
478,0.00,15.876,25,196,170,7,57,0,63463,0,0,0,0
605,0.00,14.558,19,251,220,9,75,0,80400,0,0,0,0
719,0.00,17.172,0,451,290,13,102,0,109467,0,0,0,0
821,0.00,13.496,23,482,360,16,124,0,133227,0,0,0,0
929,43.00,12.327,26,465,420,22,135,0,174825,0,0,0,0
1066,43.00,12.778,27,497,510,27,151,0,209492,0,0,0,0
1179,43.00,16.401,0,739,600,32,155,0,245258,0,0,0,0
1279,43.00,9.749,37,703,650,40,151,0,299984,0,0,0,0
1467,43.00,71.030,76,851,730,54,137,0,398538,0,0,0,0
1582,43.00,14.633,0,1167,810,64,128,0,466108,0,0,0,0
1693,43.00,58.753,45,1015,860,71,120,0,517311,0,0,0,0
1838,43.00,18.845,51,1165,920,84,107,0,603928,0,0,0,0
1939,56.00,18.617,2,941,977,101,96,0,714636,0,0,0,0
2058,56.00,83.464,65,661,995,112,85,0,787454,0,0,0,0
2168,56.00,22.239,0,1165,1031,133,64,0,912167,0,0,0,0
2289,56.00,96.807,78,856,1043,143,56,0,974460,0,0,0,0
2401,56.00,24.553,0,1298,1073,159,40,0,1085550,0,0,0,0
2519,56.00,22.009,75,984,1085,163,33,0,1108162,0,0,0,0
2632,56.00,26.823,0,1570,1115,184,14,0,1240434,0,0,0,0
2772,56.00,82.121,98,1316,1127,189,8,0,1267642,0,0,0,0
2895,56.00,90.924,2,1258,1145,195,0,0,1292149,0,0,0,0
3000,31.00,28.982,0,1274,1169,195,0,0,1292149,0,0,0,0
3120,31.00,29.992,0,1320,1193,195,0,0,1292149,0,0,0,0
3246,31.00,33.002,0,1336,1217,195,0,0,1292149,0,0,0,0
3346,31.00,33.352,0,1348,1235,195,0,0,1292149,0,0,0,0
3448,31.00,35.104,0,1358,1253,195,0,0,1292149,0,0,0,0
