timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
105,0.00,25.269,6,60,30,0,12,10,0,0
231,0.00,12.429,25,109,130,3,46,10,22511,0
334,0.00,12.451,11,157,210,6,78,10,41653,0
434,0.00,13.580,0,467,300,12,108,10,81429,0
560,0.00,11.412,41,253,380,16,134,10,107714,0
669,0.00,10.510,22,484,470,22,150,10,147302,0
769,0.00,9.475,30,526,530,28,159,10,196010,0
912,0.00,14.211,34,477,610,34,161,10,233293,0
1025,62.00,15.153,0,895,700,40,158,10,275207,0
1135,62.00,14.805,40,790,760,46,153,10,317199,0
1242,62.00,14.328,0,1316,830,53,144,10,365275,0
1345,62.00,16.544,46,991,867,60,139,6,404560,0
1500,62.00,60.859,52,850,909,69,130,6,466200,0
1607,62.00,15.500,0,1376,957,77,122,6,518641,0
1731,62.00,18.284,55,965,981,84,113,6,560786,0
1837,62.00,16.732,0,1553,1023,96,102,6,635070,0
2014,56.00,82.065,69,1167,1059,106,92,6,701013,0
2129,56.00,18.425,0,1747,1101,116,83,6,767553,0
2274,56.00,19.261,68,1277,1125,123,76,6,804700,0
2380,56.00,20.546,2,953,1161,128,70,6,842821,0
2487,56.00,22.158,0,1423,1191,137,62,6,899349,0
2587,56.00,6.419,54,754,1215,141,58,6,921646,0
2713,56.00,24.753,0,1310,1245,150,49,6,981781,0
2822,56.00,21.172,0,1768,1275,157,42,3,1030827,0
2953,39.00,33.622,78,981,1290,160,36,6,1055583,0
3072,39.00,25.813,0,1555,1306,172,27,0,1124346,0
3195,39.00,25.707,0,2181,1306,183,15,0,1195605,0
3314,39.00,27.648,88,1012,1306,185,12,0,1207695,0
3435,39.00,36.828,0,1804,1306,195,4,0,1274580,0
3538,39.00,31.501,67,1199,1306,197,1,0,1290302,0
3656,39.00,23.784,24,683,1306,199,0,0,1302234,0
3771,39.00,28.092,0,683,1306,199,0,0,1302234,0
3898,39.00,31.639,0,683,1306,199,0,0,1302234,0
4022,33.00,32.465,0,685,1306,199,0,0,1302234,0
4151,33.00,31.465,0,687,1306,199,0,0,1302234,0
4274,33.00,30.961,0,687,1306,199,0,0,1302234,0
4398,33.00,31.743,0,689,1306,199,0,0,1302234,0
4529,33.00,31.312,0,689,1306,199,0,0,1302234,0
4655,33.00,30.807,0,689,1306,199,0,0,1302234,0
4772,33.00,30.933,0,689,1306,199,0,0,1302234,0
4899,33.00,31.589,0,691,1306,199,0,0,1302234,0
5030,31.00,31.329,0,745,1306,199,1,0,1302234,0
5152,31.00,31.513,0,787,1306,200,0,0,1308745,0
5280,31.00,30.896,0,787,1306,200,0,0,1308745,0
5409,31.00,30.791,0,789,1306,200,0,0,1308745,0
5509,31.00,30.681,0,841,1306,200,0,0,1308745,0
5631,31.00,31.700,0,841,1306,200,0,0,1308745,0
5761,31.00,31.360,0,843,1306,200,0,0,1308745,0
5891,31.00,32.386,0,843,1306,200,0,0,1308745,0
5994,31.00,33.081,0,893,1306,200,1,0,1308745,0
6117,31.00,33.768,0,925,1306,201,0,0,1313526,0
6247,31.00,31.525,0,927,1306,201,0,6,1313526,0
6376,31.00,30.810,0,933,1324,201,0,4,1313526,0
6510,31.00,34.655,0,993,1328,201,0,0,1313526,0
6634,31.00,31.847,0,993,1328,201,0,0,1313526,0
6762,31.00,32.477,0,993,1328,201,0,0,1313526,0
6890,31.00,31.412,0,995,1328,201,0,0,1313526,0
6992,31.00,32.466,0,1045,1328,201,0,0,1313526,0
7117,31.00,32.567,0,1045,1328,201,0,0,1313526,0
7244,31.00,31.617,0,1047,1328,201,0,0,1313526,0
7371,31.00,31.519,0,1047,1328,201,0,0,1313526,0
7500,31.00,32.679,0,1051,1328,201,0,0,1313526,0
7629,31.00,32.034,0,1053,1328,201,0,0,1313526,0
7756,31.00,31.662,0,1053,1328,201,0,0,1313526,0
7884,31.00,32.239,0,1053,1328,201,0,0,1313526,0
8012,31.00,31.503,0,1053,1328,201,0,0,1313526,0
8138,31.00,31.220,0,1055,1328,201,0,0,1313526,0
8269,31.00,33.051,0,1055,1328,201,0,0,1313526,0
8397,31.00,31.733,0,1055,1328,201,0,0,1313526,0
8522,31.00,32.413,0,1055,1328,201,0,0,1313526,0
8650,31.00,31.214,0,1061,1335,201,0,6,1313526,0
