timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
100,0.00,24.595,6,26,30,0,12,10,0,0
216,0.00,12.556,20,85,120,3,45,10,27984,0
318,0.00,13.561,12,302,210,7,77,10,59532,0
443,0.00,13.349,34,221,290,10,106,10,85440,0
558,0.00,13.748,23,292,370,14,131,10,115657,0
671,0.00,13.444,30,362,440,19,149,10,154971,0
779,0.00,13.848,0,750,530,25,161,10,197214,0
887,0.00,14.981,28,665,600,28,165,10,216295,0
987,62.00,14.707,0,1055,670,34,162,10,259799,0
1087,62.00,5.184,52,650,710,38,159,10,288629,0
1233,62.00,60.750,48,706,780,49,148,10,357304,0
1345,62.00,15.812,0,1364,860,59,138,10,423012,0
1459,62.00,18.240,49,1014,910,64,132,10,461090,0
1572,62.00,17.583,0,1560,965,73,124,6,522689,0
1690,62.00,16.905,71,979,983,76,121,6,545976,0
1795,62.00,17.938,0,1553,1025,88,109,6,612400,0
1939,51.00,74.883,64,1143,1055,95,102,6,661305,0
2054,51.00,17.299,0,1701,1097,103,94,6,719421,0
2227,51.00,83.878,67,1317,1133,112,85,6,775933,0
2330,51.00,21.769,2,1079,1169,123,74,6,838138,0
2450,51.00,58.960,38,654,1193,132,65,6,893791,0
2562,51.00,21.710,0,1280,1229,143,54,6,963919,0
2717,51.00,22.297,64,705,1253,152,45,4,1019404,0
2828,51.00,23.381,0,1235,1257,161,36,0,1085784,0
2953,43.00,28.302,0,1929,1257,172,25,0,1148359,0
3116,43.00,24.748,89,944,1257,180,17,0,1201447,0
3225,43.00,25.012,0,1442,1281,187,10,6,1247577,0
3391,43.00,100.000,69,1294,1298,196,1,0,1296520,0
3529,43.00,39.594,24,949,1298,197,0,0,1301253,0
3642,43.00,30.124,0,949,1298,197,0,0,1301253,0
3761,43.00,31.378,0,961,1298,197,0,0,1301253,0
3890,43.00,33.677,0,963,1298,197,0,0,1301253,0
3991,29.00,33.049,0,963,1298,197,0,0,1301253,0
4095,29.00,34.600,0,963,1298,197,0,0,1301253,0
4201,29.00,35.166,0,965,1298,197,0,0,1301253,0
4305,29.00,35.635,0,965,1298,197,0,0,1301253,0
4411,29.00,34.681,0,967,1298,197,0,0,1301253,0
4515,29.00,36.115,0,967,1298,197,0,0,1301253,0
4623,29.00,36.483,0,967,1298,197,0,0,1301253,0
4756,29.00,34.856,0,967,1298,197,0,0,1301253,0
4888,29.00,35.043,0,999,1298,197,0,0,1301253,0
4991,28.00,33.872,0,999,1298,197,0,0,1301253,0
5100,28.00,35.970,0,999,1298,197,0,0,1301253,0
5206,28.00,34.301,0,999,1298,197,0,0,1301253,0
5317,28.00,34.818,0,1045,1298,197,0,0,1301253,0
5417,28.00,34.259,0,1047,1298,197,0,0,1301253,0
5523,28.00,35.445,0,1047,1298,197,0,0,1301253,0
5656,28.00,34.643,0,1047,1298,197,0,0,1301253,0
5758,28.00,35.027,0,1047,1298,197,0,0,1301253,0
5868,28.00,35.487,0,1091,1298,197,0,0,1301253,0
5970,29.00,34.724,0,1091,1298,197,0,0,1301253,0
6074,29.00,35.031,0,1091,1298,197,0,0,1301253,0
6178,29.00,33.777,0,1091,1298,197,0,0,1301253,0
6284,29.00,33.784,0,1097,1304,197,0,6,1301253,0
6391,29.00,36.025,0,1151,1322,197,0,5,1301253,0
6521,29.00,34.020,0,1153,1327,197,0,0,1301253,0
6623,29.00,34.131,0,1153,1327,197,0,0,1301253,0
6728,29.00,34.657,0,1153,1327,197,0,0,1301253,0
6830,29.00,34.676,0,1153,1327,197,0,0,1301253,0
6931,29.00,36.124,0,1219,1327,198,0,0,1307028,0
7032,29.00,33.450,0,1219,1327,198,0,0,1307028,0
7136,29.00,35.294,0,1219,1327,198,0,0,1307028,0
7239,29.00,33.919,0,1221,1327,198,0,0,1307028,0
7375,29.00,33.192,0,1255,1327,198,1,0,1307028,0
7504,29.00,35.196,0,1293,1327,199,0,0,1313376,0
7604,29.00,32.603,0,1293,1327,199,0,0,1313376,0
7704,29.00,32.955,0,1293,1327,199,0,0,1313376,0
7804,29.00,33.827,0,1293,1327,199,0,0,1313376,0
7907,29.00,33.646,0,1313,1327,199,0,0,1313376,0
8040,30.00,35.583,0,1313,1327,199,0,0,1313376,0
8140,30.00,32.166,0,1313,1327,199,0,0,1313376,0
8241,30.00,33.953,0,1313,1327,199,0,0,1313376,0
8374,30.00,33.636,0,1317,1327,199,0,0,1313376,0
8504,30.00,33.933,0,1317,1327,199,0,0,1313376,0
8635,30.00,33.978,0,1323,1328,199,0,6,1313376,0
8769,30.00,34.334,0,1331,1352,199,0,6,1313376,0
8872,30.00,31.718,0,1383,1359,199,2,0,1313376,0
8999,30.00,31.652,0,1463,1359,201,0,0,1325410,0
9100,30.00,34.156,0,1463,1359,201,0,0,1325410,0
9200,30.00,31.962,0,1463,1359,201,0,0,1325410,0
9330,30.00,31.715,0,1463,1359,201,0,0,1325410,0
9435,30.00,34.320,0,1611,1366,203,0,5,1338803,0
9564,30.00,31.628,0,1611,1371,203,0,0,1338803,0
9667,30.00,34.086,0,1611,1371,203,0,0,1338803,0
9769,30.00,33.610,0,1611,1371,203,0,0,1338803,0
9873,30.00,31.362,0,1665,1371,203,3,0,1338803,0
10001,30.00,31.539,0,1807,1371,206,0,0,1359088,0
10101,30.00,34.174,0,1807,1371,206,0,0,1359088,0
10234,30.00,33.316,0,1807,1371,206,0,0,1359088,0
10366,30.00,31.485,0,1821,1371,206,0,0,1359088,0
10496,30.00,31.524,0,1821,1371,206,0,0,1359088,0
10626,30.00,34.125,0,1821,1371,206,0,0,1359088,0
10755,30.00,31.593,0,1821,1371,206,0,0,1359088,0
10888,30.00,33.540,0,1851,1371,206,0,1,1359088,0
11015,31.00,34.270,0,1855,1370,206,0,0,1359088,0
11147,31.00,32.855,0,1863,1382,206,0,0,1359088,0
11277,31.00,31.838,0,1863,1382,206,0,0,1359088,0
11381,31.00,34.911,0,1969,1382,206,1,0,1359088,0
11508,31.00,31.759,0,1981,1382,207,0,0,1366739,0
11610,31.00,33.928,0,1981,1382,207,0,0,1366739,0
11743,31.00,34.178,0,1981,1382,207,0,0,1366739,0
11844,31.00,31.784,0,1989,1382,207,0,0,1366739,0
11974,30.00,31.713,0,1989,1382,207,0,0,1366739,0
12074,30.00,34.117,0,1989,1382,207,0,0,1366739,0
12200,30.00,32.519,0,1989,1382,207,0,0,1366739,0
12300,30.00,33.150,0,1989,1382,207,0,0,1366739,0
12401,30.00,33.566,0,1993,1382,207,0,0,1366739,0
12501,30.00,34.165,0,1993,1382,207,0,0,1366739,0
12633,30.00,33.198,0,2003,1381,207,0,0,1366739,0
12735,30.00,32.826,0,2003,1381,207,0,0,1366739,0
12839,30.00,34.685,0,2025,1381,207,0,0,1366739,0
12971,30.00,33.935,0,2025,1381,207,0,0,1366739,0
13074,30.00,33.375,0,2027,1381,207,0,0,1366739,0
13176,30.00,33.421,0,2027,1381,207,0,0,1366739,0
13278,30.00,33.030,0,2027,1381,207,0,0,1366739,0
13382,30.00,33.099,0,2027,1381,207,0,0,1366739,0
13483,30.00,32.960,0,2029,1381,207,0,0,1366739,0
13586,30.00,33.106,0,2029,1381,207,0,0,1366739,0
13688,30.00,33.381,0,2029,1381,207,0,0,1366739,0
13791,30.00,33.779,0,2037,1360,207,0,6,1366739,0
13897,30.00,36.250,0,2071,1378,207,0,4,1366739,0
14000,29.00,32.831,0,2071,1382,207,0,0,1366739,0
14104,29.00,35.032,0,2071,1382,207,0,0,1366739,0
14208,29.00,33.766,0,2071,1382,207,0,0,1366739,0
14313,29.00,34.903,0,2073,1382,207,0,0,1366739,0
14417,29.00,36.773,0,2143,1382,207,0,0,1366739,0
14520,29.00,34.478,0,2147,1381,208,0,1,1371994,0
14625,29.00,38.259,0,2147,1382,208,0,0,1371994,0
14728,29.00,32.504,0,2149,1382,208,0,0,1371994,0
14833,29.00,34.613,0,2149,1382,208,0,0,1371994,0
14939,29.00,35.626,0,2161,1382,208,0,0,1371994,0
15042,29.00,33.951,0,2161,1382,208,0,0,1371994,0
15144,29.00,33.040,0,2161,1382,208,0,0,1371994,0
15248,29.00,34.320,0,2161,1382,208,0,0,1371994,0
15352,29.00,35.018,0,2161,1382,208,0,0,1371994,0
15454,29.00,33.653,0,2161,1382,208,0,0,1371994,0
15559,29.00,34.091,0,2161,1382,208,0,0,1371994,0
15740,29.00,34.403,30,721,1368,208,0,6,1371994,0
15863,29.00,34.576,0,727,1382,208,0,0,1371994,0
15969,27.00,34.536,0,727,1382,208,0,0,1371994,0
16079,27.00,37.220,0,881,1382,210,0,0,1386922,0
16182,27.00,35.186,0,881,1382,210,0,0,1386922,0
16285,27.00,31.885,0,881,1382,210,0,0,1386922,0
16388,27.00,33.060,0,881,1382,210,0,0,1386922,0
16491,27.00,33.225,0,883,1382,210,0,0,1386922,0
16591,27.00,33.719,0,885,1382,210,0,0,1386922,0
16721,27.00,35.096,0,901,1348,210,0,6,1386922,0
16842,27.00,33.900,0,915,1372,210,0,6,1386922,0
16944,28.00,34.595,0,917,1381,210,0,0,1386922,0
17045,28.00,34.209,0,917,1381,210,0,0,1386922,0
17158,28.00,37.117,0,1115,1381,212,0,0,1403044,0
17288,28.00,32.238,0,1115,1381,212,0,0,1403044,0
17389,28.00,33.388,0,1115,1381,212,0,0,1403044,0
17522,28.00,34.067,0,1117,1381,212,0,0,1403044,0
17629,28.00,36.440,0,1341,1381,212,4,0,1403044,0
17729,28.00,32.802,0,1469,1381,219,0,0,1444123,0
17861,28.00,34.134,0,1469,1381,219,0,0,1444123,0
17994,29.00,42.808,0,1485,1354,219,0,6,1444123,0
18130,29.00,31.233,0,1605,1378,219,2,3,1444123,0
18258,29.00,32.013,0,1633,1381,221,0,0,1454059,0
18384,29.00,32.380,0,1633,1381,221,0,0,1454059,0
18512,29.00,33.083,0,1633,1381,221,0,0,1454059,0
18642,29.00,35.003,0,1833,1381,221,2,0,1454059,0
18767,29.00,30.718,0,1907,1381,226,0,0,1485244,0
18898,29.00,32.252,0,1919,1381,226,0,1,1485244,0
19021,30.00,30.216,0,1919,1382,226,0,0,1485244,0
19148,30.00,35.232,0,2085,1382,230,0,0,1503688,0
19269,30.00,29.830,0,2085,1382,230,0,0,1503688,0
19391,30.00,29.660,0,2085,1382,230,0,0,1503688,0
19511,30.00,29.907,0,2085,1382,230,0,0,1503688,0
19668,30.00,90.586,69,922,1382,233,2,0,1521701,0
19780,30.00,29.357,0,950,1373,237,0,6,1541501,0
19900,30.00,29.993,0,950,1382,237,0,0,1541501,0
20021,31.00,29.954,0,950,1382,237,0,0,1541501,0
20129,31.00,30.468,0,1084,1375,240,0,6,1554236,0
20236,31.00,28.760,0,1084,1382,240,0,0,1554236,0
20356,31.00,30.384,0,1084,1382,240,0,0,1554236,0
20481,31.00,30.352,0,1088,1382,240,0,0,1554236,0
20630,31.00,29.681,0,1120,1355,240,0,6,1554236,0
20739,31.00,29.005,0,1146,1379,240,0,3,1554236,0
20857,31.00,30.286,0,1164,1382,240,0,0,1554236,0
20983,33.00,29.958,0,1266,1382,240,3,0,1554236,0
21101,33.00,28.931,0,1376,1382,243,0,0,1573283,0
21254,33.00,29.712,0,1402,1363,243,0,6,1573283,0
21362,33.00,28.515,0,1424,1381,243,0,0,1573283,0
21488,33.00,34.647,0,1584,1381,243,0,0,1573283,0
21606,33.00,30.150,0,1602,1381,245,0,0,1587804,0
21727,33.00,30.080,0,1618,1381,245,0,0,1587804,0
21847,33.00,30.040,0,1636,1381,245,0,0,1587804,0
21970,32.00,30.002,0,1746,1381,247,0,0,1597224,0
22099,32.00,29.555,0,1770,1354,247,0,6,1597224,0
22206,32.00,28.559,0,1796,1378,247,0,4,1597224,0
22325,32.00,29.950,0,1812,1382,247,0,0,1597224,0
22428,32.00,36.022,0,2084,1382,248,2,0,1603959,0
22547,32.00,30.464,0,2174,1382,252,0,0,1635054,0
22668,32.00,29.944,0,2192,1382,252,0,0,1635054,0
22787,32.00,29.626,0,2210,1382,252,0,0,1635054,0
22923,32.00,32.137,0,2292,1346,252,0,6,1635054,0
23025,31.00,92.367,82,994,1358,253,0,6,1641837,0
23126,31.00,29.988,0,1014,1376,253,0,6,1641837,0
23246,31.00,29.863,0,1032,1382,253,0,0,1641837,0
23366,31.00,30.097,0,1050,1382,253,0,0,1641837,0
23467,31.00,34.192,0,1350,1382,256,0,0,1664394,0
23587,31.00,29.874,0,1366,1382,257,0,0,1671452,0
23706,31.00,29.800,0,1370,1382,257,0,0,1671452,0
23843,31.00,29.950,0,1382,1343,257,0,6,1671452,0
